"type";"minutos";"segudos";"miliegundos";"tempo";"threads";"entrada"
"user";0;39;303;"39.303";0;"16k-b"
"user";0;39;58;"39.58";0;"16k-b"
"user";0;39;19;"39.19";0;"16k-b"
"user";0;39;66;"39.66";0;"16k-b"
"user";0;39;39;"39.39";0;"16k-b"
"user";0;39;22;"39.22";0;"16k-b"
"user";0;36;866;"36.866";0;"16k-c"
"user";0;36;803;"36.803";0;"16k-c"
"user";0;36;803;"36.803";0;"16k-c"
"user";0;36;857;"36.857";0;"16k-c"
"user";0;36;791;"36.791";0;"16k-c"
"user";0;36;912;"36.912";0;"16k-c"
"user";0;36;880;"36.880";0;"16k-c"
"user";0;36;878;"36.878";0;"16k-c"
"user";0;36;798;"36.798";0;"16k-c"
"user";0;36;839;"36.839";0;"16k-c"
"user";0;36;855;"36.855";0;"16k-c"
"user";0;36;807;"36.807";0;"16k-c"
"user";0;36;893;"36.893";0;"16k-c"
"user";0;36;906;"36.906";0;"16k-c"
"user";0;36;811;"36.811";0;"16k-c"
"user";0;36;795;"36.795";0;"16k-c"
"user";0;36;831;"36.831";0;"16k-c"
"user";0;36;805;"36.805";0;"16k-c"
"user";0;37;61;"37.61";0;"16k-c"
"user";0;37;17;"37.17";0;"16k-c"
